RS-M-Sga	830	44874	4563433	9224	150	68.79	0	0	0	0	0	0	1	637	3531070	16	0	0	96993	13	4	4	1.41	0.43	4	0	0	0	98.047	1.012	757	44874	23585	16
RS-H-Soap	720	45522	4440636	11128	121	68.88	1	1	0	0	1	11354	3	585	3489132	4	0	0	32130	235	22	219	25.59	2.4	17	5	0	0	97.368	1.004	764	35514	26876	15
RS-M-Soap	354	115051	4527360	33829	44	68.83	0	0	0	0	0	0	2	275	3553074	11	0	0	45541	7	5	12	0.76	0.54	4	1	0	0	98.048	1.005	830	64633	71815	6
RS-H-Spades	163	291333	4628908	74486	19	68.83	0	0	0	0	0	0	2	113	3366868	11	0	7	316472	141	8	41	15.11	0.86	7	1	691	14.93	98.947	1.035	866	201460	201460	2
RS-M-Spades	105	286217	4588344	118093	15	68.81	1	1	0	0	1	134342	1	67	2886590	13	0	4	746661	150	9	32	16.02	0.96	8	1	466	10.16	99.294	1.02	874	143857	202404	2
RS-H-Velvet	586	59062	4475470	13807	98	68.76	1	1	0	0	1	2649	2	448	3559995	2	0	0	6116	97	5	5	10.67	0.55	5	0	0	0	96.387	1.001	760	39528	33564	12
RS-M-Velvet	332	71713	4485514	24347	58	68.77	0	0	0	0	0	0	2	247	3527037	3	0	0	39136	265	5	5	28.86	0.54	5	0	0	0	97.377	1.001	817	46867	50143	8
RS-H-Abyss	520	66408	4542138	13523	98	68.72	0	0	0	0	0	0	0	485	4234064	11	0	9	190859	62	42	73	58.56	39.67	41	1	8	0.18	93.043	1.105	76	28877	66408	1
RS-M-Abyss	382	71578	4503182	22050	67	68.77	0	0	0	0	0	0	0	353	4347876	5	1	4	46321	40	2	2	37.22	1.86	2	0	0	0	95.333	1.002	75	22066	71578	1
RS-H-Cabog	534	41321	4214745	12421	111	68.94	0	0	0	0	0	0	0	526	4188359	6	0	1	14792	14	1	1	125.92	8.99	1	0	0	0	9.749	1.043	4	4266	40728	2
RS-M-Cabog	146	127844	3952525	41794	30	69.06	0	0	0	0	0	0	0	144	3920624	2	0	1	30933	0	1	1	0	152.21	1	0	210	5.31	0.576	1.473	1	657	127844	1
RS-H-Mira	640	110511	4494266	18568	69	68.89	2	2	0	0	1	13094	2	553	4380677	11	0	3	25183	117	49	49	143.21	59.98	49	0	241	5.36	71.637	1.091	17	7641	110511	1
RS-M-Mira	731	67456	4609809	15792	90	68.75	3	3	0	0	1	13107	4	677	4452850	14	1	3	30917	118	8	8	110.25	7.47	8	0	119	2.58	96.325	1.162	68	18822	67456	1
RS-H-Msrca	106	358962	4479673	176783	10	68.87	0	0	0	0	0	0	0	85	4028196	15	0	4	420752	78	11	42	281.3	39.67	10	1	0	0	24.313	1.108	15	8261	358962	1
RS-M-Msrca	58	241348	4246144	142742	12	68.9	2	2	0	0	2	7536	0	47	3866980	6	2	2	363621	58	3	3	539.94	27.93	3	0	0	0	9.97	1.367	5	5388	241348	1
RS-H-Sga	577	75323	4211737	12872	96	68.7	0	0	0	0	0	0	0	527	4088198	7	0	1	55480	12	1	1	17.72	1.48	1	0	0	0	59.38	1.005	36	6834	75323	1
RS-M-Sga	830	44874	4563433	9224	150	68.79	0	0	0	0	0	0	0	786	4364818	16	1	5	84325	48	35	38	43.69	31.85	35	0	0	0	96.342	1.04	74	13892	39550	2
RS-H-Soap	720	45522	4440636	11128	121	68.88	0	0	0	0	0	0	0	659	4356899	4	0	1	11431	90	1	1	124.58	1.38	1	0	0	0	63.345	1.001	28	4851	40274	2
RS-M-Soap	354	115051	4527360	33829	44	68.83	0	0	0	0	0	0	2	315	4344231	10	0	3	79867	94	17	18	93.38	16.89	17	0	0	0	88.267	1.03	59	12631	115051	1
RS-H-Spades	163	291333	4628908	74486	19	68.83	1	1	0	0	1	4429	0	136	4230197	9	0	8	272460	52	9	9	47.08	8.15	9	0	691	14.93	97.062	1.141	85	46425	291333	1
RS-M-Spades	105	286217	4588344	118093	15	68.81	0	0	0	0	0	0	0	74	3766185	17	5	10	699531	47	6	6	52.73	6.73	6	0	466	10.16	98.164	1.095	83	26351	286217	1
RS-H-Velvet	586	59062	4475470	13807	98	68.76	0	0	0	0	0	0	0	556	4325887	5	1	4	42175	28	2	2	26.5	1.89	2	0	0	0	93.703	1.005	74	17843	59062	1
RS-M-Velvet	332	71713	4485514	24347	58	68.77	0	0	0	0	0	0	0	308	4321147	4	1	4	62943	36	4	4	35.99	4	4	0	0	0	88.829	1.001	72	19145	71713	1
RS-H-Abyss	520	66408	4542138	13523	98	68.72	0	0	0	0	0	0	0	505	4312221	10	1	7	190574	5	5	7	15.98	15.98	5	0	8	0.18	91.272	1.162	26	19014	66408	1
RS-M-Abyss	382	71578	4503182	22050	67	68.77	0	0	0	0	0	0	0	375	4445631	2	1	2	22704	0	5	7	0	15.52	5	0	0	0	93.72	1.002	26	25932	71578	1
RS-H-Cabog	534	41321	4214745	12421	111	68.94	0	0	0	0	0	0	0	529	4182857	4	0	0	29874	6	2	2	375.23	125.08	2	0	0	0	4.31	1.26	1	1188	41321	1
RS-M-Cabog	146	127844	3952525	41794	30	69.06	0	0	0	0	0	0	0	143	3903420	3	0	1	48156	1	0	0	137.17	0	0	0	210	5.31	1.965	1.302	0	583	127844	1
RS-H-Mira	640	110511	4494266	18568	69	68.89	0	0	0	0	0	0	0	613	4355615	8	1	3	107968	52	1	1	186.02	3.58	1	0	241	5.36	78.307	1.056	12	4476	110511	1
RS-M-Mira	731	67456	4609809	15792	90	68.75	1	1	0	0	1	20420	0	714	4475798	10	2	2	93904	17	1	6	48.6	2.86	0	1	119	2.58	99.733	1.095	27	12698	67456	1
RS-H-Msrca	106	358962	4479673	176783	10	68.87	1	1	0	0	1	797	0	96	3701100	7	1	2	746744	11	6	13	36.46	19.89	5	1	0	0	81.739	1.063	23	28165	358962	1
RS-M-Msrca	58	241348	4246144	142742	12	68.9	0	0	0	0	0	0	0	51	3696035	6	0	0	516833	15	8	13	46.6	24.85	8	0	0	0	86.765	1.034	27	31896	241348	1
RS-H-Sga	577	75323	4211737	12872	96	68.7	0	0	0	0	0	0	0	555	4132778	5	0	0	57776	5	0	0	23.9	0	0	0	0	0	56.385	1.013	11	3590	75323	1
RS-M-Sga	830	44874	4563433	9224	150	68.79	0	0	0	0	0	0	0	813	4477674	11	1	2	46825	4	5	7	11.99	14.99	5	0	0	0	99.121	1.059	26	19745	44874	1
RS-H-Soap	720	45522	4440636	11128	121	68.88	0	0	0	0	0	0	0	697	4412223	1	0	0	1354	5	0	0	18.97	0	0	0	0	0	71.038	1.027	9	3071	45522	1
RS-M-Soap	354	115051	4527360	33829	44	68.83	0	0	0	0	0	0	0	341	4391320	5	0	0	102203	11	1	6	33.41	3.04	0	1	0	0	88.739	1.028	25	18759	115051	1
