BF-H-Cabog	136	138	136	363813	5213908	5214282	5213908	95840	42294	18	38	43,41	102	96	0	6	48	3570138	48	24	277939	25	6	13	198312	28116	2721	4086	659,26	63,8	2631	90	0	0	79,582	1,109	3301	182457	94207	41281	33716	9866	30567	7076	19	41	41	107	44	121
BF-H-Mira	174	542	109	378585	5340833	5433200	5299150	134263	84346	12	24	43,47	115	108	0	7	42	4218273	50	88	269971	27	6	9	248800	28784	1353	2690	669,71	31,48	1266	87	131	2,45	80,39	1,117	3373	188970	134263	84346	43533	13208	43533	13166	12	24	36	88	36	90
BF-H-Msrca	109	119	102	391846	5392427	5396385	5386876	158716	74628	11	23	43,45	119	108	0	11	45	4167060	50	19	221693	17	2	12	217963	29482	1271	2748	684,22	29,5	1173	98	0	0	80,517	1,146	3377	185930	158716	74628	42218	11177	42218	11607	11	23	37	93	37	92
BF-H-Sga	281	2291	233	188622	5209075	5508253	5177435	45047	26391	38	76	43,45	65	65	0	0	45	2145331	39	75	339100	52	8	31	339945	27275	1117	2267	641,35	26,27	1043	74	0	0	79,584	1,06	3303	133449	41244	24099	27630	7687	27083	6225	40	81	58	140	61	157
BF-H-Soap	149	402	118	384109	5262789	5314517	5241412	125627	58562	14	30	43,47	92	92	0	0	37	3785868	46	59	253980	21	5	13	263522	28301	1239	2509	660,86	28,93	1154	85	0	0	80,132	1,103	3360	185821	116105	56336	42686	12745	41464	11178	15	32	38	92	39	99
BF-H-Spades	110	151	86	534462	5319487	5332156	5302376	157732	86371	10	22	43,47	104	100	0	4	30	3997256	50	46	253522	18	3	12	232326	28649	1397	2651	666,63	32,51	1315	82	439	8,25	80,382	1,12	3373	185423	157732	86371	43492	14057	42951	13166	10	22	37	87	38	90
BF-H-Velvet	142	246	120	286976	5261270	5289907	5246405	125214	59460	14	29	43,46	98	94	0	4	33	3745674	46	63	257196	18	6	13	230190	28262	1333	2553	660,05	31,13	1252	81	0	0	80,117	1,109	3363	185610	125214	59261	42686	13480	41192	11607	14	30	37	89	39	96
MA-H-Abyss	96	147	87	610290	5123560	5134453	5116313	119446	68977	15	29	64,1	NA	NA	NA	NA	NA	NA	NA	96	5123560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	620	12,1	NA	NA	NA	NA	610290	610290	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-M-Abyss	149	328	131	245660	5116522	5149082	5104376	70424	39013	24	48	64,1	NA	NA	NA	NA	NA	NA	NA	149	5116522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	219	4,28	NA	NA	NA	NA	245660	245660	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Cabog	127	127	127	238341	5116091	5116091	5116091	81416	42966	21	43	64,1	NA	NA	NA	NA	NA	NA	NA	127	5116091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	0,7	NA	NA	NA	NA	238341	238341	NA	NA	NA	NA	1	1	NA	NA	NA	NA
